; Generated by mfdb 3.2.0
; -- data --
; year	step	area	vessel	number
1998	4	1	PEL	1
2000	4	1	PEL	1
2001	4	1	PEL	1
2002	4	1	PEL	1
2005	1	1	PEL	1
2006	1	1	PEL	1
2007	1	1	PEL	1
2008	1	1	PEL	1
2009	1	1	PEL	1
2010	1	1	PEL	1
2013	1	1	PEL	1
2014	1	1	PEL	1
2015	1	1	PEL	1
2016	1	1	PEL	1
2017	1	1	PEL	1
2018	1	1	PEL	1
2019	1	1	PEL	1
2020	1	1	PEL	1
2021	1	1	PEL	1
