; Generated by mfdb 3.2.0
; -- data --
; year	step	area	vessel	number
2004	1	1	ECO	1
2006	1	1	ECO	1
2007	2	1	ECO	1
2009	2	1	ECO	1
2010	2	1	ECO	1
2013	2	1	ECO	1
2014	2	1	ECO	1
2015	2	1	ECO	1
2016	2	1	ECO	1
2017	2	1	ECO	1
2018	2	1	ECO	1
2019	2	1	ECO	1
2020	2	1	ECO	1
